earth science > climate indicators > land surface/agriculture indicators > soil moisture, Count: 1, Level 4

earth science > atmosphere > atmospheric pressure > planetary/rossby waves, Count: 1, Level 4

earth science > atmosphere > atmospheric radiation > outgoing longwave radiation, Count: 1, Level 4

earth science > climate indicators > atmospheric/ocean indicators > teleconnections > madden-julian oscillation > mjo, Count: 1, Level 6

earth science > atmosphere > atmospheric water vapor > water vapor indicators > humidity > specific humidity, Count: 5, Level 6

earth science > atmosphere > atmospheric water vapor > water vapor indicators > vapor pressure, Count: 7, Level 5

earth science > atmosphere > atmospheric water vapor > water vapor indicators > stable isotopes, Count: 1, Level 5

paleoceanography, Count: 8, Level 1

earth science > atmosphere > clouds > cloud properties > cloud base height, Count: 5, Level 5

earth science > spectral/engineering > lidar > lidar backscatter, Count: 6, Level 4

earth science > oceans > ocean chemistry > stable isotopes, Count: 2, Level 4

seabirds, Count: 17, Level 1

earth science > atmosphere > atmospheric winds > surface winds > wind direction tendency, Count: 1, Level 5

earth science > spectral/engineering > sensor characteristics > geolocation, Count: 5, Level 4

earth science services > data analysis and visualization > geographic information systems, Count: 3, Level 3

earth science > atmosphere > atmospheric winds > surface winds > wind speed tendency, Count: 1, Level 5

earth science > biosphere > vegetation > plant phenology, Count: 1, Level 4

accompanying archives, Count: 2, Level 1

marine mammal watch, Count: 6, Level 1

earth science > agriculture > soils > carbon, Count: 1, Level 4

earth science > atmosphere > atmospheric water vapor > water vapor indicators > total precipitable water, Count: 2, Level 5

earth science > atmosphere > clouds > cloud properties, Count: 8, Level 4

earth science > atmosphere > atmospheric winds > wind dynamics > turbulence, Count: 12, Level 5

earth science > atmosphere > atmospheric temperature > surface temperature > deiced temperature, Count: 5, Level 5

earth science > atmosphere > atmospheric winds > upper level winds > flight level winds, Count: 6, Level 5

earth science > land surface > soils > soil moisture/water content, Count: 10, Level 4

earth science > terrestrial hydrosphere > snow/ice > snow/ice temperature, Count: 3, Level 4

earth science > cryosphere > snow/ice > snow/ice temperature, Count: 4, Level 4

earth science > atmosphere > atmospheric water vapor > water vapor profiles > vertically resolved backscatter light, Count: 2, Level 5

earth science > atmosphere > precipitation > liquid water equivalent, Count: 1, Level 4

